"filename","models","loras","seed","positive_prompt"
"image_embedded_one.json","z_image_turbo_bf16.safetensors","barry-zib-3.0.safetensors","1012949075958313","A middle-aged ginger man is sitting at a desk with his feet on the desk and his hands on his belly. He is barefoot."
"image_flux2_klein_t2i.json","flux-2-klein-9b-fp8.safetensors","","","A man and woman sitting together on a sofa wearing pajamas barefeet."
"image_flux2_text_to_image_9b.json","flux-2-klein-base-9b-fp8.safetensors|flux-2-klein-9b-fp8.safetensors","","","A vintage motorcycle parked in front of a retro diner at sunset, warm orange and pink sky, neon signs glowing, 80s vinta"
"image_flux2_text_to_image_9b_loras.json","flux-2-klein-base-9b-fp8.safetensors|flux-2-klein-9b-fp8.safetensors","Barry-flux-klein-2.safetensors|Hands + Feet + skin v1.1.safetensors","","A vintage motorcycle parked in front of a retro diner at sunset, warm orange and pink sky, neon signs glowing, 80s vinta"
"image_z_image.json","z_image_bf16.safetensors","","","A fashion photography work full of surreal romanticism, using a low-angle upward shooting composition, with a clear ligh"
"image_z_image_2.json","z_image_turbo_bf16.safetensors","Nature.safetensors|Hands + Feet + skin v1.1.safetensors|hands_and_feet.safetensors|hair.safetensors","737217046012932","The image is a high-resolution photograph depicting a beautiful multi-colored parrot sitting on a branch in a lush tropi"
"image_z_image_turbo.json","z_image_turbo_bf16.safetensors","","","Latina female with thick wavy hair, harbor boats and pastel houses behind. Breezy seaside light, warm tones, cinematic c"
"image_z_image_turbo_lora.json","z_image_turbo_bf16.safetensors","Clementine-zit.safetensors","","Latina female with thick wavy hair, harbor boats and pastel houses behind. Breezy seaside light, warm tones, cinematic c"
"video_wan2_2_14B_t2v.json","wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors|wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors|wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors|wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors","wan2.2_t2v_lightx2v_4steps_lora_v1.1_high_noise.safetensors|wan2.2_t2v_lightx2v_4steps_lora_v1.1_low_noise.safetensors","392459563371087","Beautiful young European woman with honey blonde hair gracefully turning her head back over shoulder, gentle smile, brig"

